Chinese,English0,Chinese,,,Mandarin_Chinese,English,,,,,,
的,of,的,,De,的  De,of,,,,,,
是 ,Yes ,是,,Shi,是  Shi,Yes,,,,,,
一 / 一 / yī,One / one / yī,一,一,yī,一  yī,One,one,yī,,,,
在 / 在 / zài,At / zài,在,在,zài,在  zài,At,zài,,,,,
了 / 了 / le,It's / le,了,了,le,了  le,It's,le,,,,,
不 / 不 / bù,No / not / bù,不,不,bù,不  bù,No,not,bù,,,,
我 / 我 / wǒ,I / I / wǒ,我,我,wǒ,我  wǒ,I,I,wǒ,,,,
个 / 個 / gè,One / gè,个,個,gè,个  gè,One,gè,,,,,
有 / 有 / yǒu,Yes / yǒu,有,有,yǒu,有  yǒu,Yes,yǒu,,,,,
他 / 他 / tā,He / he / tā,他,他,tā,他  tā,He,he,tā,,,,
这 / 這 / zhè,This / this / zhè,这,這,zhè,这  zhè,This,this,zhè,,,,
说 / 説 / shuō,Say / Say / shues,说,説,shuō,说  shuō,Say,Say,shues,,,,
就 / 就 / jiù,Just / jiù,就,就,jiù,就  jiù,Just,jiù,,,,,
人 / 人 / rén,Person / person / rén,人,人,rén,人  rén,Person,person,rén,,,,
上 / 上 / shàng,Up / above / shàng,上,上,shàng,上  shàng,Up,above,shàng,,,,
和 / 和 / hé,And / and / hé,和,和,hé,和  hé,And,and,hé,,,,
也 / 也 / yě,Also / y /,也,也,yě,也  yě,Also,y,,,,,
你 / 你 / nǐ,You / you / nǐ,你,你,nǐ,你  nǐ,You,you,nǐ,,,,
了 / 了 / le,It's / le,了,了,le,了  le,It's,le,,,,,
要 / 要 / yào,I want / yào,要,要,yào,要  yào,I,want,yào,,,,
到 / 到 / dào,To / dào,到,到,dào,到  dào,To,dào,,,,,
对 / 對 / duì,Yes / pair / drain,对,對,duì,对  duì,Yes,pair,drain,,,,
还 / 还 / hái,Also / hái,还,还,hái,还  hái,Also,hái,,,,,
都 / 都 / dōu,Du / Dōu,都,都,dōu,都  dōu,All,,,,,,
大 / 大 / dà,Big / Dà,大,大,dà,大  dà,Big,Dà,,,,,
我们 / 我們 / wǒmen,We / we / wǒmen,我们,我們,wǒmen,我们  wǒmen,We,we,wǒmen,,,,
着 / 著 / zhe,E / zhe,着,著,zhe,着  zhe,E,zhe,,,,,
好 / 好 / hǎo,Good / good / hǎo,好,好,hǎo,好  hǎo,Good,good,hǎo,,,,
种 / 種 / zhǒng,Species / zhǒ,种,種,zhǒng,种  zhǒng,Species,zhǒ,,,,,
中 / 中 / zhōng,Middle / medium / zhōng,中,中,zhōng,中  zhōng,Middle,medium,zhōng,,,,
能 / 能 / néng,Energy / energy / néng,能,能,néng,能  néng,Energy,energy,néng,,,,
她 / 她 / tā,She / her / tā,她,她,tā,她  tā,She,her,tā,,,,
两 / 兩 / liǎng,Two / two / liǎng,两,兩,liǎng,两  liǎng,Two,two,liǎng,,,,
把 / 把 / bǎ,Plus / bǎ,把,把,bǎ,把  bǎ,Plus,bǎ,,,,,
会 / 會 / huì,Will / Huì,会,會,huì,会  huì,Will,Huì,,,,,
地 / 地 / de,Earth / Di / DE,地,地,de,地  de,Earth,Di,DE,,,,
那 / 那 / nà,That / that / nà,那,那,nà,那  nà,That,that,nà,,,,
很 / 很 / hěn,Very / very / hěn,很,很,hěn,很  hěn,Very,very,hěn,,,,
"看 / 看 / kàn, kān","See / see / kàn, kān",看,,Kàn,看  Kàn,See,see,"kàn,",kān,,,
去 / 去 / qù,Go / go / qù,去,去,qù,去  qù,Go,go,qù,,,,
他们 / 他們 / tāmen,They / they / tāmen,他们,他們,tāmen,他们  tāmen,They,they,tāmen,,,,
从 / 從 / cóng,From / cóng,从,從,cóng,从  cóng,From,cóng,,,,,
自己 / 自己 / zìjǐ,Yourself / zìjǐ,自己,自己,zìjǐ,自己  zìjǐ,Yourself,zìjǐ,,,,,
得 / 得 / de,Get / de / de,得,得,de,得  de,Get,de,de,,,,
什么 / 什麼 / shénme,What / what / shénme,什么,什麼,shénme,什么  shénme,What,what,shénme,,,,
又 / 又 / yòu,/ / Yòu,又,又,yòu,又  yòu,Again,,,,,,
第 / 第 / dì,No. / Dì / dì,第,第,dì,第  dì,No.,Dì,dì,,,,
年 / 年 / nián,Year / Year / Nián,年,年,nián,年  nián,Year,Year,Nián,,,,
而 / 而 / ér,And / and ér,而,而,ér,而  ér,And,and,ér,,,,
出 / 出 / chū,Out / chū,出,出,chū,出  chū,Out,chū,,,,,
这个 / 這個 / zhège,This / this / zhège,这个,這個,zhège,这个  zhège,This,this,zhège,,,,
三 / 三 / sān,Three / three / sān,三,三,sān,三  sān,Three,three,sān,,,,
来 / 來 / lái,Come / Lai / Lái,来,來,lái,来  lái,Come,Lai,Lái,,,,
次 / 次 / cì,Times / time / cì,次,次,cì,次  cì,Times,time,cì,,,,
多 / 多 / duō,More / more / duō,多,多,duō,多  duō,More,more,duō,,,,
想 / 想 / xiăng,I want / want / xi ng,想,想,xiăng,想  xiăng,I,want,want,xi,ng,,
被 / 被 / bèi,Being / bèi,被,被,bèi,被  bèi,Being,bèi,,,,,
最 / 最 / zuì,The most / most / zhaoì,最,最,zuì,最  zuì,The,most,most,zhaoì,,,
里 / 裏 / lǐ,Mile / li / lǐ,里,裏,lǐ,里  lǐ,Mile,li,lǐ,,,,
给 / 給 / gěi,Give / gěi,给,給,gěi,给  gěi,Give,gěi,,,,,
但 / 但 / dàn,But / but / dàn,但,但,dàn,但  dàn,But,but,dàn,,,,
几 / 幾 / jǐ,How / a few / jǐ,几,幾,jǐ,几  jǐ,How,a,few,jǐ,,,
来 / 來 / lái,Come / Lai / Lái,来,來,lái,来  lái,Come,Lai,Lái,,,,
下 / 下 / xià,Xia / Xia / xià,下,下,xià,下  xià,Down,,,,,,
为 / 為 / wèi,For / wèi,为,為,wèi,为  wèi,For,wèi,,,,,
小 / 小 / xiǎo,Small / small / xiǎo,小,小,xiǎo,小  xiǎo,Small,small,xiǎo,,,,
后 / 後 / hòu,Post / post / hòu,后,後,hòu,后  hòu,Post,post,hòu,,,,
用 / 用 / yòng,Use / yòng,用,用,yòng,用  yòng,Use,yòng,,,,,
多 / 多 / duō,More / more / duō,多,多,duō,多  duō,More,more,duō,,,,
可以 / 可以 / kěyǐ,Can / k yǐ,可以,可以,kěyǐ,可以  kěyǐ,Can,k,yǐ,,,,
只 / 只 / zhǐ,Only / zhǐ,只,只,zhǐ,只  zhǐ,Only,zhǐ,,,,,
问题 / 問題 / wèntí,Question / Question / Wèntí,问题,問題,wèntí,问题  wèntí,Question,Question,Wèntí,,,,
等 / 等 / děng,Wait / wait / děng,等,等,děng,等  děng,Wait,wait,děng,,,,
没有 / 沒有 / méiyǒu,No / no / méiyǒu,没有,沒有,méiyǒu,没有  méiyǒu,No,no,méiyǒu,,,,
过 / 過 / guo,Over / Guo,过,過,guo,过  guo,Over,Guo,,,,,
做 / 做 / zuò,Do / zuò,做,做,zuò,做  zuò,Do,zuò,,,,,
以 / 以 / yǐ,Yixi / yǐ,以,以,yǐ,以  yǐ,by,,,,,,
时 / 時 / shí,Time / hour / shí,时,時,shí,时  shí,Time,hour,shí,,,,
让 / 讓 / ràng,Let / let / ràng / ràng,让,讓,ràng,让  ràng,Let,let,ràng,ràng,,,
二 / 二 / èr,Two / Two / èr,二,二,èr,二  èr,Two,Two,èr,,,,
这样 / 這樣 / zhèyàng,This / like this / zhèyàng,这样,這樣,zhèyàng,这样  zhèyàng,This,like,this,zhèyàng,,,
可 / 可 / kě,Can / Ke / K /,可,可,kě,可  kě,Can,Ke,K,,,,
更 / 更 / gèng,More / more / gèng,更,更,gèng,更  gèng,More,more,gèng,,,,
之 / 之 / zhī,/ Zhi / zhi,之,之,zhī,之  zhī,of,,,,,,
走 / 走 / zǒu,Go / go / zǒu,走,走,zǒu,走  zǒu,Go,go,zǒu,,,,
它 / 它 / tā,It / it / tā,它,它,tā,它  tā,It,it,tā,,,,
再 / 再 / zài,Again / zài,再,再,zài,再  zài,Again,zài,,,,,
与 / 與 / yǔ,And / and / y /,与,與,yǔ,与  yǔ,And,and,y,,,,
呢 / 呢 / ne,How / NE / NE,呢,呢,ne,呢  ne,How,NE,NE,,,,
知道 / 知道 / zhīdào,Know / know / zhīdào,知道,知道,zhīdào,知道  zhīdào,Know,know,zhīdào,,,,
天 / 天 / tiān,God / Tian / Tiān,天,天,tiān,天  tiān,God,Tian,Tiān,,,,
位 / 位 / wèi,Bit / bit / wèi,位,位,wèi,位  wèi,Bit,bit,wèi,,,,
才 / 才 / cái,Tale / Cái,才,才,cái,才  cái,Tale,Cái,,,,,
现在 / 現在 / xiànzài,Now / now / xiànzài,现在,現在,xiànzài,现在  xiànzài,Now,now,xiànzài,,,,
于 / 於 / yú,Yu / Yú,于,於,yú,于  yú,At,,,,,,
各 / 各 / gè,Each / gè,各,各,gè,各  gè,Each,gè,,,,,
为 / 為 / wéi,For / wéi,为,為,wéi,为  wéi,For,wéi,,,,,
工作 / 工作 / gōngzuò,Work / Work / Gōngzuò,工作,工作,gōngzuò,工作  gōngzuò,Work,Work,Gōngzuò,,,,
因为 / 因為 / yīnwéi,Because / because / yīnwéi,因为,因為,yīnwéi,因为  yīnwéi,Because,because,yīnwéi,,,,
向 / 向 / xiàng,Xiang / Xiàng,向,向,xiàng,向  xiàng,towards,,,,,,
已经 / 已經 / yǐjīng,Already / yǐjīng,已经,已經,yǐjīng,已经  yǐjīng,Already,yǐjīng,,,,,
并 / 並 / bìng,And / and / bìng,并,並,bìng,并  bìng,And,and,bìng,,,,
时候 / 時候 / shíhou,Time / time / shíhou,时候,時候,shíhou,时候  shíhou,Time,time,shíhou,,,,
这些 / 這些 / zhèxiē,These / these / zhèxiē,这些,這些,zhèxiē,这些  zhèxiē,These,these,zhèxiē,,,,
国 / 國 / guó,National / Guo / Guó,国,國,guó,国  guó,National,Guo,Guó,,,,
高 / 高 / gāo,High / high / gāo,高,高,gāo,高  gāo,High,high,gāo,,,,
没有 / 沒有 / méiyǒw,No / no / méiyǒw,没有,沒有,méiyǒw,没有  méiyǒw,No,no,méiyǒw,,,,
事 / 事 / shì,Things / things / shì,事,事,shì,事  shì,Things,things,shì,,,,
发展 / 發展 / fāzhǎn,Development / Development / fāzhǎn,发展,發展,fāzhǎn,发展  fāzhǎn,Development,Development,fāzhǎn,,,,
成 / 成 / chéng,Cheng / CHéng,成,成,chéng,成  chéng,become,,,,,,
们 / 們 / men,We / Men / Men,们,們,men,们  men,We,Men,Men,,,,
新 / 新 / xīn,New / new / xīn,新,新,xīn,新  xīn,New,new,xīn,,,,
所 / 所 / suǒ,Square / suǒ,所,所,suǒ,所  suǒ,Square,suǒ,,,,,
社会 / 社會 / shèhuì,Social / Society / SHèhuì,社会,社會,shèhuì,社会  shèhuì,Social,Society,SHèhuì,,,,
一些 / 一些 / yìxiē,Some / yìxiē,一些,一些,yìxiē,一些  yìxiē,Some,yìxiē,,,,,
吗 / 嗎 / ma,Is it / MA / MA,吗,嗎,ma,吗  ma,Is,it,MA,MA,,,
与 / 與 / yǔ,And / and / y /,与,與,yǔ,与  yǔ,And,and,y,,,,
没 / 沒 / méi,No / no / méi,没,沒,méi,没  méi,No,no,méi,,,,
吧 / 吧 / ba,Bar / bar / ba,吧,吧,ba,吧  ba,Bar,bar,ba,,,,
打 / 打 / dǎ,Hit / dǎ / dǎ,打,打,dǎ,打  dǎ,Hit,dǎ,dǎ,,,,
前 / 前 / qián,Pre - / QIán,前,前,qián,前  qián,Pre,-,QIán,,,,
如果 / 如果 / rúguǒ,If / if / rúguǒ,如果,如果,rúguǒ,如果  rúguǒ,If,if,rúguǒ,,,,
已 / 已 / yǐ,Has / yǐ,已,已,yǐ,已  yǐ,Has,yǐ,,,,,
使 / 使 / shǐ,Make / shǐ,使,使,shǐ,使  shǐ,Make,shǐ,,,,,
话 / 話 / huà,Talk / words,话,話,huà,话  huà,Talk,words,,,,,
世界 / 世界 / shìjiè,World / World / Shìjiè,世界,世界,shìjiè,世界  shìjiè,World,World,Shìjiè,,,,
生活 / 生活 / shēnghuó,Life / Life / Shēnghuóó,生活,生活,shēnghuó,生活  shēnghuó,Life,Life,Shēnghuóó,,,,
四 / 四 / sì,Four / four / sì,四,四,sì,四  sì,Four,four,sì,,,,
怎么 / 怎麼 / zěnme,How / How / Zenme,怎么,怎麼,zěnme,怎么  zěnme,How,How,Zenme,,,,
比 / 比 / bǐ,Better / bǐ,比,比,bǐ,比  bǐ,Better,bǐ,,,,,
将 / 將 / jiāng,Will / jiāng / jiāng,将,將,jiāng,将  jiāng,Will,jiāng,jiāng,,,,
家 / 家 / jiā,Home / Home / Jiā,家,家,jiā,家  jiā,Home,Home,Jiā,,,,
像 / 像 / xiàng,The statue of / like / xiàng,像,像,xiàng,像  xiàng,The,statue,of,like,xiàng,,
叫 / 叫 / jiào,Call / called / jiào,叫,叫,jiào,叫  jiào,Call,called,jiào,,,,
国家 / 國家 / guójiā,National / National / Guójiā,国家,國家,guójiā,国家  guójiā,National,National,Guójiā,,,,
起 / 起 / qǐ,Starting / qà,起,起,qǐ,起  qǐ,Starting,qà,,,,,
吃 / 吃 / chī,Eat / eat / chī,吃,吃,chī,吃  chī,Eat,eat,chī,,,,
月 / 月 / yuè,Month / month / yuè,月,月,yuè,月  yuè,Month,month,yuè,,,,
开始 / 開始 / kāishǐ,Start / start / kāishǐ,开始,開始,kāishǐ,开始  kāishǐ,Start,start,kāishǐ,,,,
全 / 全 / quán,Full / all / quán,全,全,quán,全  quán,Full,all,quán,,,,
完 / 完 / wán,End / Wán,完,完,wán,完  wán,End,Wán,,,,,
时间 / 時間 / shíjiān,Time / time / shíjiān,时间,時間,shíjiān,时间  shíjiān,Time,time,shíjiān,,,,
